Name of file,Indendation,Indendation Consistent?,Whitespace around code to improve readability?,Used == instead of equals,Single/Nondescriptive variable names,Comments,Empty Catch Block,Generic Exceptions,Explicit Initialization,Method Length,Magic Numbers,# of magic numbers,Line Length,Boolean Exp Complexity,"FINAL CODE QUALITY METRIC (Good, Very Good, Decent, Bad, Very Bad)"
Snake.java,4,Yes,Yes,NA,2,0,NA,NA,No,6,No,0,25,NA,Bad
TimeTest.java,2,Yes,No,NA,6,0,NA,NA,Yes,9,No,0,70,NA,Bad
HelloWorld.java,9,No,No,NA,1,1,NA,NA,Yes,6,Yes,1,40,NA,Good
NoDisconnectManager.java,2,Yes,Yes,NA,0,5,No,No,Yes,48,No,0,115,1,Good
TestIntegerNull.java,2,Yes,Yes,Yes,0,0,NA,NA,Yes,9,No,0,40,1,Bad
SampleAppletCode.java,10,No,Yes,NA,5,1,NA,NA,No,35,Yes,10,25,2,Bad
RandNumbers.java,4,Yes,Yes,N/A,1,3,N/A,N/A,Yes,33,Yes,5,40,1,Good
CheckContent.java,4,Yes,Yes,No,0,2,No,N/A,Yes,16,No,0,92,1,Good
PhotoAdapter.java,4,Yes,Yes,No,0,0,N/A,N/A,Yes,40,No,0,50,1,Good
StringJoin.java,2,No,No,N/A,0,0,N/A,N/A,No,9,No,0,20,N/A,Bad
Person.java,16,Yes,Yes,N/A,0,2,N/A,N/A,No,11,Yes,2,31,1,Good
Point.java,4,Yes,Yes,Yes,3,0,N/A,N/A,No,11,No,0,54,2,Bad
ColorPoint.java,4,Yes,Yes,Yes,2,0,N/A,N/A,N/A,6,No,0,27,2,Bad
StringEquals.java,2,Yes,Yes,No,0,1,N/A,N/A,Yes,23,Yes,2,48,2,
TernaryComparison.java,16,Yes,No,No,3,0,N/A,N/A,Yes,4,Yes,5,182,3,Bad
FizzBuzz.java,6,Yes,No,Yes,3,0,N/A,N/A,Yes,4,Yes,6,54,N/A,Bad
PolyGlot.java,4,,,,,,,,,,,,,,
MysteryCode.java,0,No,No,Yes,3,0,N/A,N/A,Yes,13,Yes,17,47,7,Bad
Assembly.java,4,Yes,Yes,N/A,8,0,N/A,N/A,YES,23,Yes,20,160,2,Bad
Salary.java,2,No,No,N/A,0,0,N/A,N/A,Yes,28,Yes,2,100,1,Bad
Program1.java,1,No,No,No,8,0,N/A,N/A,No,46,Yes,5,200,1,Bad
DrawToImage.java,2,Yes,Yes,No,0,0,N/A,N/A,Yes,24,Yes,1,61,2,Good
Sum.java,2,Yes,Yes,N/A,0,0,N/A,N/A,Yes,6,No,0,38,1,Good
GenerateTurtle.java,2,Yes,No,N/A,0,0,N/A,N/A,Yes,30,No,0,70,1,Good
GraphicsEx.java,2,Yes,Yes,N/A,7,0,N/A,N/A,Yes,23,Yes,4,60,1,Bad
InnerExec.java,2,Yes,Yes,N/A,4,0,No,Yes,No,13,Yes,1,31,1,Bad
RandomMatrix.java,2,Yes,Yes,N/A,0,0,N/A,N/A,Yes,6,No,0,6,N/A,Good
FillPowerMatrix.java,2,Yes,Yes,N/A,0,0,N/A,N/A,Yes,7,No,0,6,N/A,Good
ReallyWrong.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,10,No,0,36,1,Good
SwitchCases.java,2,Yes,Yes,N/A,0,0,N/A,N/A,Yes,12,Yes,2,42,1,Good
Conditions.java,4,No,Yes,NA,0,0,N/A,N/A,No,4,No,0,20,3,Bad
ConditionsGood.java,4,Yes,Yes,NA,0,0,N/A,N/A,No,4,No,0,20,3,Good
TestImmutable.java,2,Yes,Yes,Yes,0,0,N/A,N/A,Yes,9,No,0,56,1,Good
TestHashCode.java,0,Yes,No,N/A,0,0,N/A,N/A,No,6,No,0,30,N/A,Bad
SwitchTests.java,0,No,Yes,N/A,1,0,N/A,N/A,Yes,13,Yes,2,27,1,Bad
AnotherSwitchEx.java,2,No,No,N/A,3,1,NA,NA,No,13,No,0,20,1,Bad
BadMethod.java,4,No,Yes,N/A,2,0,N/A,N/A,No,4,Yes,1,13,N/A,Bad
NewtonsMethodBad.java,6,No,Yes,N/A,4,2,N/A,N/A,Yes,7,Yes,2,30,1,Bad
NewtonsMethodGood.java,2,Yes,Yes,N/A,0,2,N/A,N/A,Yes,7,Yes,2,30,1,Good
LongLine.java,0,Yes,No,No,2,0,N/A,N/A,Yes,1,Yes,6,198,3,Bad
BadMessage.java,6,No,Yes,N/A,1,0,N/A,N/A,Yes,6,Yes,16,65,N/A,Bad
GoodMessage.java,2,Yes,Yes,N/A,0,0,N/A,N/A,Yes,6,No,0,65,N/A,Good
NodeStart.java,4,Yes,Yes,NA,0,8,N/A,N/A,Yes,113,No,0,110,1,Good?
StashValue.java,4,Yes,Yes,N/A,0,3,N/A,No,Yes,5,No,0,78,1,Good
GetHeightGood.java,2,Yes,Yes,N/A,0,2,N/A,N/A,Yes,9,No,0,90,2,Good
GetHeightBad.java,2,Yes,Yes,N/A,5,2,N/A,N/A,Yes,9,No,0,90,2,Bad
GetItemTextGood.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,8,No,0,75,2,Good
GetItemTextBad.java,4,No,Yes,N/A,4,0,N/A,N/A,Yes,8,No,0,75,2,Bad
CodeRecyclerGood.java,2,Yes,Yes,N/A,0,3,N/A,N/A,Yes,12,No,0,65,1,Good
CodeRecyclerBad.java,2,No,Yes,N/A,0,2,N/A,N/A,Yes,12,No,0,65,1,Bad
CodeRecyclerWorse.java,2,Yes,Yes,N/A,0,3,N/A,N/A,Yes,12,No,0,208,1,Bad
ArduinoLoop.java,4,Yes,Yes,N/A,0,4,N/A,N/A,Yes,10,No,0,60,1,Good
ArduinoLoopBad.java,4,Yes,Yes,N/A,2,2,N/A,N/A,Yes,10,No,0,60,1,Good
HexEncoder.java,4,Yes,Yes,No,0,0,N/A,N/A,Yes,6,Yes,13,140,1,Bad
MP3.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,20,No,0,40,1,Good
EarthQuakeMarker.java,2,Yes,Yes,N/A,0,2,N/A,N/A,Yes,7,No,0,75,1,Good
EarthQuakeMarkerBad.java,2,No,Yes,N/A,0,2,N/A,N/A,Yes,7,No,0,75,1,Good